psp_id,mp_id,family_name,given_name,title_pre,title_post,birth_date,death_date,gender,region_id,region_name_cs,region_name_en,list_id,list_abbreviation,list_name_cs,list_name_en,last_group_id,last_group_abbreviation,last_group_name_cs,last_group_name_en,last_group_since,last_group_until,since,until,current,full_term,web,street,municipality,postcode,email,phone,fax,psp_phone,facebook
1599,377,Kalousek,Miroslav,Ing.,,1960-12-17,,M,582,Středočeský,Central Bohemia,948.0,TOP09,TOP 09,TOP 09,1299,TOP09,Poslanecký klub TOP 09,Political group TOP 09,2017-10-31,2021-01-19,2017-10-21,2021-01-19,False,False,,,,,,,,,
1532,6435,Baxa,Martin,Mgr.,,1975-09-16,,M,584,Plzeňský,Plzen,155.0,ODS,Občanská demokratická strana,Civic Democratic Party,1538,ODS,Poslanecký klub Občanské demokratické strany,Political group Civic Democratic Party,2021-10-12,,2017-10-21,2021-10-20,True,True,,,,,,,,,
1640,6487,Nacher,Patrik,Ing.,,1974-10-17,,M,581,Hlavní město Praha,Capital Prague,1104.0,ANO2011,ANO2011,ANO2011,1537,ANO,Poslanecký klub ANO 2011,Political group ANO 2011,2021-10-12,,2017-10-21,2021-10-20,True,True,,,,,,,,,
1732,346,Bendl,Petr,Ing.,,1966-01-24,,M,582,Středočeský,Central Bohemia,155.0,ODS,Občanská demokratická strana,Civic Democratic Party,1538,ODS,Poslanecký klub Občanské demokratické strany,Political group Civic Democratic Party,2021-10-12,,2017-10-21,2017-10-21,True,True,,,,,,,,,
1732,346,Bendl,Petr,Ing.,,1966-01-24,,M,582,Středočeský,Central Bohemia,155.0,ODS,Občanská demokratická strana,Civic Democratic Party,1538,ODS,Poslanecký klub Občanské demokratické strany,Political group Civic Democratic Party,2021-10-12,,2019-07-02,2021-10-20,True,False,,,,,,,,,
1695,6483,Třešňák,Petr,Ing.,,1983-01-04,,M,585,Karlovarský,Karlovy Vary,1290.0,Piráti,Česká pirátská strana,Czech Pirate Party,1300,Piráti,Poslanecký klub České pirátské strany,Political group Czech Pirate Party,2017-10-22,2021-10-20,2017-10-21,2021-10-20,False,False,,,,,,,,,
1682,237,Sobotka,Bohuslav,Mgr.,,1971-10-23,,M,591,Jihomoravský,Southern Moravia,153.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,1294,ČSSD,Poslanecký klub České strany sociálně demokratické,Political group Czech Social Democratic Party,2017-10-27,2018-03-31,2017-10-21,2018-03-31,False,False,,,,,,,,,
1718,252,Zaorálek,Lubomír,PhDr.,,1956-09-06,,M,594,Moravskoslezský,Moravia-Silesia,153.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,1294,ČSSD,Poslanecký klub České strany sociálně demokratické,Political group Czech Social Democratic Party,2017-10-27,2021-10-20,2017-10-21,2021-10-20,False,False,,,,,,,,,
1607,6211,Kolovratník,Martin,Ing.,,1975-04-11,,M,589,Pardubický,Pardubice,1104.0,ANO2011,ANO2011,ANO2011,1537,ANO,Poslanecký klub ANO 2011,Political group ANO 2011,2021-10-12,,2017-10-21,2021-10-20,True,True,,,,,,,,,
1719,6480,Zlesák,Radek,Ing.,,1983-07-11,,M,590,Vysočina,Vysocina,1104.0,ANO2011,ANO2011,ANO2011,1292,ANO,Poslanecký klub ANO 2011,Political group ANO 2011,2017-10-24,2021-10-20,2017-10-21,2021-10-20,False,False,,,,,,,,,
