psp_id,mp_id,family_name,given_name,title_pre,title_post,birth_date,death_date,gender,region_id,region_name_cs,region_name_en,list_id,list_abbreviation,list_name_cs,list_name_en,last_group_id,last_group_abbreviation,last_group_name_cs,last_group_name_en,last_group_since,last_group_until,since,until,current,full_term,web,street,municipality,postcode,email,phone,fax,psp_phone,facebook
747,136,Recman,Svatomír,RSDr. Ing.,,1952-12-29,,M,594,Moravskoslezský,Moravia-Silesia,154.0,KSCM,Komunistická strana Čech a Moravy,Communist Party of Bohemia and Moravia,596,KSČM,Poslanecký klub Komunistické strany Čech a Moravy,Political group Communist Party of Bohemia and Moravia,2002-06-19,2006-06-15,2002-06-15,2006-06-15,False,False,,,,,,,,,
781,5284,Vojtilová,Jitka,Ing.,,1962-09-28,,Ž,587,Liberecký,Liberec,153.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,750,ČSSD,Poslanecký klub České strany sociálně demokratické,Political Group of the Czech Social Democratic Party,2009-07-13,2010-06-03,2002-06-15,2006-06-15,False,False,,,,,,,,,
829,5342,Böhnisch,Robin,PhDr.,,1976-11-23,,M,588,Královéhradecký,Hradec Kralove,153.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,1107,ČSSD,Poslanecký klub České strany sociálně demokratické,Political group Czech Social Democratic Party,2013-10-29,2017-10-26,2003-04-23,2006-06-15,False,False,,,,,,,,,
742,372,Chytka,Radim,Ing.,,1959-09-06,,M,594,Moravskoslezský,Moravia-Silesia,155.0,ODS,Občanská demokratická strana,Civic Democratic Party,753,ODS,Poslanecký klub Občanské demokratické strany,Political Group of the Civic Democratic Party,2006-06-08,2010-06-03,2002-06-15,2006-06-15,False,False,,,,,,,,,
731,243,Šulák,Petr,Ing.,,1944-05-02,,M,593,Zlínský,Zlin,153.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,599,ČSSD,Poslanecký klub České strany sociálně demokratické,Political group Czech Social Democratic Party,2002-06-21,2006-06-15,2002-06-15,2006-06-15,False,False,,,,,,,,,
710,235,Skopal,Ladislav,Ing.,,1958-09-25,,M,591,Jihomoravský,Southern Moravia,153.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,863,ČSSD,Poslanecký klub České strany sociálně demokratické,\tPolitical group Czech Social Democratic Party,2010-06-04,2013-08-28,2002-06-15,2006-06-15,False,False,,,,,,,,,
680,19,Čelišová,Květoslava,PaedDr.,,1946-04-11,,Ž,586,Ústecký,Usti nad Labem,154.0,KSCM,Komunistická strana Čech a Moravy,Communist Party of Bohemia and Moravia,596,KSČM,Poslanecký klub Komunistické strany Čech a Moravy,Political group Communist Party of Bohemia and Moravia,2002-06-19,2006-06-15,2002-06-15,2006-06-15,False,False,,,,,,,,,
714,345,Bartoš,Walter,PhDr.,"Ph.D., MBA",1961-04-23,,M,591,Jihomoravský,Southern Moravia,155.0,ODS,Občanská demokratická strana,Civic Democratic Party,864,ODS,Poslanecký klub Občanské demokratické strany,Political group Civic Democratic Party,2010-05-30,2013-08-28,2002-06-15,2006-06-15,False,False,,,,,,,,,
826,5287,Pelc,František,RNDr.,,1962-10-04,,M,587,Liberecký,Liberec,595.0,K,Koalice,Coalition,598,US-DEU,Poslanecký klub Unie svobody-Demokratické unie,Political group Freedom Union-Democratic Union,2002-06-18,2006-06-15,2002-06-15,2006-06-15,False,False,,,,,,,,,
704,401,Němcová,Miroslava,,,1952-11-17,,Ž,590,Vysočina,Vysocina,155.0,ODS,Občanská demokratická strana,Civic Democratic Party,1295,ODS,Poslanecký klub Občanské demokratické strany,Political group Civic Democratic Party,2017-10-24,2020-10-10,2002-06-15,2006-06-15,False,False,,,,,,,,,
633,263,Klaus,Václav,Prof. Ing.,CSc.,1941-06-19,,M,581,Hlavní město Praha,Capital Prague,155.0,ODS,Občanská demokratická strana,Civic Democratic Party,600,ODS,Poslanecký klub Občanské demokratické strany,Political group Civic Democratic Party,2002-06-25,2003-03-07,2002-06-15,2003-03-07,False,False,,,,,,,,,
842,5380,Švarcbek,Josef,RSDr.,,1955-01-02,,M,584,Plzeňský,Plzen,154.0,KSCM,Komunistická strana Čech a Moravy,Communist Party of Bohemia and Moravia,596,KSČM,Poslanecký klub Komunistické strany Čech a Moravy,Political group Communist Party of Bohemia and Moravia,2004-07-20,2006-06-15,2004-07-20,2006-06-15,False,False,,,,,,,,,
774,5277,Patera,Miloš,Ing.,,1962-01-26,,M,585,Karlovarský,Karlovy Vary,155.0,ODS,Občanská demokratická strana,Civic Democratic Party,753,ODS,Poslanecký klub Občanské demokratické strany,Political Group of the Civic Democratic Party,2006-06-08,2010-06-03,2002-06-15,2006-06-15,False,False,,,,,,,,,
852,363,Grüner,Václav,Ing.,CSc.,1944-09-22,,M,584,Plzeňský,Plzen,153.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,750,ČSSD,Poslanecký klub České strany sociálně demokratické,Political Group of the Czech Social Democratic Party,2006-06-05,2010-06-03,2004-10-07,2006-06-15,False,False,,,,,,,,,
705,270,Pešán,Jaroslav,MVDr.,,1946-10-02,,M,590,Vysočina,Vysocina,155.0,ODS,Občanská demokratická strana,Civic Democratic Party,600,ODS,Poslanecký klub Občanské demokratické strany,Political group Civic Democratic Party,2002-06-25,2006-06-15,2002-06-15,2006-06-15,False,False,,,,,,,,,
716,415,Suchánek,Pavel,Ing.,,1952-03-31,,M,591,Jihomoravský,Southern Moravia,155.0,ODS,Občanská demokratická strana,Civic Democratic Party,864,ODS,Poslanecký klub Občanské demokratické strany,Political group Civic Democratic Party,2010-05-30,2013-08-28,2002-06-15,2006-06-15,False,False,,,,,,,,,
678,405,Ouzký,Miroslav,MUDr.,,1958-08-18,,M,586,Ústecký,Usti nad Labem,155.0,ODS,Občanská demokratická strana,Civic Democratic Party,600,ODS,Poslanecký klub Občanské demokratické strany,Political group Civic Democratic Party,2002-06-25,2004-07-20,2002-06-15,2004-07-20,False,False,,,,,,,,,
784,5288,Šedivá,Iva,Ing.,,1955-03-15,,Ž,588,Královéhradecký,Hradec Kralove,153.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,599,ČSSD,Poslanecký klub České strany sociálně demokratické,Political group Czech Social Democratic Party,2002-06-21,2006-06-15,2002-06-15,2006-06-15,False,False,,,,,,,,,
